#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/ecg_latest/verilog/osu035/f3m_cubic.v --output_format txt --do-not-zip -o adjlist/ecg_latest/osu035/f3m_cubic -l lib/osu035_stdcells.lib
# GMT Tue Nov 18 13:51:42 2025
# 
INPUT_\in[0]  OR2X2_9 INVX1_34 NAND3X1_26 OAI21X1_27
INVX1_193 NAND3X1_147 MUX2X1_49
INVX1_194 NAND3X1_145 OAI21X1_146
INVX1_195 NAND3X1_145 OAI21X1_146
NAND3X1_145 NAND3X1_147 MUX2X1_49
INVX1_196 NAND3X1_146
NAND3X1_146 NAND3X1_147
NAND3X1_147 AND2X2_49
AND2X2_49
OAI21X1_146 NAND2X1_49
OAI21X1_147 NAND2X1_49
NAND2X1_49 MUX2X1_49
MUX2X1_49
OR2X2_50 OAI21X1_148
OAI21X1_148 AND2X2_50
INVX1_197 NAND3X1_150 MUX2X1_50
INVX1_198 NAND3X1_148 OAI21X1_149
INVX1_199 NAND3X1_148 OAI21X1_149
NAND3X1_148 NAND3X1_150 MUX2X1_50
INVX1_200 NAND3X1_149
NAND3X1_149 NAND3X1_150
NAND3X1_150 AND2X2_50
AND2X2_50
OAI21X1_149 NAND2X1_50
OAI21X1_150 NAND2X1_50
NAND2X1_50 MUX2X1_50
MUX2X1_50
OR2X2_51 OAI21X1_151
OAI21X1_151 AND2X2_51
INVX1_201 NAND3X1_153 MUX2X1_51
INVX1_202 NAND3X1_151 OAI21X1_152
INVX1_203 NAND3X1_151 OAI21X1_152
NAND3X1_151 NAND3X1_153 MUX2X1_51
INVX1_204 NAND3X1_152
NAND3X1_152 NAND3X1_153
NAND3X1_153 AND2X2_51
AND2X2_51
OAI21X1_152 NAND2X1_51
OAI21X1_153 NAND2X1_51
NAND2X1_51 MUX2X1_51
MUX2X1_51
OR2X2_52 OAI21X1_154
OAI21X1_154 AND2X2_52
INVX1_205 NAND3X1_156 MUX2X1_52
INVX1_206 NAND3X1_154 OAI21X1_155
INVX1_207 NAND3X1_154 OAI21X1_155
NAND3X1_154 NAND3X1_156 MUX2X1_52
INVX1_208 NAND3X1_155
NAND3X1_155 NAND3X1_156
NAND3X1_156 AND2X2_52
AND2X2_52
OAI21X1_155 NAND2X1_52
OAI21X1_156 NAND2X1_52
NAND2X1_52 MUX2X1_52
MUX2X1_52
OR2X2_53 OAI21X1_157
OAI21X1_157 AND2X2_53
INVX1_209 NAND3X1_159 MUX2X1_53
INVX1_210 NAND3X1_157 OAI21X1_158
INVX1_211 NAND3X1_157 OAI21X1_158
NAND3X1_157 NAND3X1_159 MUX2X1_53
INVX1_212 NAND3X1_158
NAND3X1_158 NAND3X1_159
NAND3X1_159 AND2X2_53
AND2X2_53
OAI21X1_158 NAND2X1_53
OAI21X1_159 NAND2X1_53
NAND2X1_53 MUX2X1_53
MUX2X1_53
OR2X2_54 OAI21X1_160
OAI21X1_160 AND2X2_54
INVX1_213 NAND3X1_162 MUX2X1_54
INVX1_214 NAND3X1_160 OAI21X1_161
INVX1_215 NAND3X1_160 OAI21X1_161
NAND3X1_160 NAND3X1_162 MUX2X1_54
INVX1_216 NAND3X1_161
NAND3X1_161 NAND3X1_162
NAND3X1_162 AND2X2_54
AND2X2_54
OAI21X1_161 NAND2X1_54
OAI21X1_162 NAND2X1_54
NAND2X1_54 MUX2X1_54
MUX2X1_54
OR2X2_55 OAI21X1_163
OAI21X1_163 AND2X2_55
INVX1_217 NAND3X1_165 MUX2X1_55
INVX1_218 NAND3X1_163 OAI21X1_164
INVX1_219 NAND3X1_163 OAI21X1_164
NAND3X1_163 NAND3X1_165 MUX2X1_55
INVX1_220 NAND3X1_164
NAND3X1_164 NAND3X1_165
NAND3X1_165 AND2X2_55
AND2X2_55
OAI21X1_164 NAND2X1_55
OAI21X1_165 NAND2X1_55
NAND2X1_55 MUX2X1_55
MUX2X1_55
OR2X2_56 OAI21X1_166
OAI21X1_166 AND2X2_56
INVX1_221 NAND3X1_168 MUX2X1_56
INVX1_222 NAND3X1_166 OAI21X1_167
INVX1_223 NAND3X1_166 OAI21X1_167
NAND3X1_166 NAND3X1_168 MUX2X1_56
INVX1_224 NAND3X1_167
NAND3X1_167 NAND3X1_168
NAND3X1_168 AND2X2_56
AND2X2_56
OAI21X1_167 NAND2X1_56
OAI21X1_168 NAND2X1_56
NAND2X1_56 MUX2X1_56
MUX2X1_56
OR2X2_57 OAI21X1_169
OAI21X1_169 AND2X2_57
INVX1_225 NAND3X1_171 MUX2X1_57
INVX1_226 NAND3X1_169 OAI21X1_170
INVX1_227 NAND3X1_169 OAI21X1_170
NAND3X1_169 NAND3X1_171 MUX2X1_57
INVX1_228 NAND3X1_170
NAND3X1_170 NAND3X1_171
NAND3X1_171 AND2X2_57
AND2X2_57 OAI21X1_145 INVX1_193 OAI21X1_172 INVX1_229
OAI21X1_170 NAND2X1_57
OAI21X1_171 NAND2X1_57
NAND2X1_57 MUX2X1_57
MUX2X1_57 OAI21X1_145 INVX1_195 NAND3X1_146 OAI21X1_147 OAI21X1_172 INVX1_231 NAND3X1_173 OAI21X1_174
OR2X2_58 OAI21X1_172
OAI21X1_172 AND2X2_58
INVX1_229 NAND3X1_174 MUX2X1_58
INVX1_230 NAND3X1_172 OAI21X1_173
INVX1_231 NAND3X1_172 OAI21X1_173
NAND3X1_172 NAND3X1_174 MUX2X1_58
INVX1_232 NAND3X1_173
NAND3X1_173 NAND3X1_174
NAND3X1_174 AND2X2_58
AND2X2_58
OAI21X1_173 NAND2X1_58
OAI21X1_174 NAND2X1_58
NAND2X1_58 MUX2X1_58
MUX2X1_58
OR2X2_59 OAI21X1_175
OAI21X1_175 AND2X2_59
INVX1_233 NAND3X1_177 MUX2X1_59
INVX1_234 NAND3X1_175 OAI21X1_176
INVX1_235 NAND3X1_175 OAI21X1_176
NAND3X1_175 NAND3X1_177 MUX2X1_59
INVX1_236 NAND3X1_176
NAND3X1_176 NAND3X1_177
NAND3X1_177 AND2X2_59
AND2X2_59
OAI21X1_176 NAND2X1_59
OAI21X1_177 NAND2X1_59
NAND2X1_59 MUX2X1_59
MUX2X1_59
OR2X2_60 OAI21X1_178
OAI21X1_178 AND2X2_60
INVX1_237 NAND3X1_180 MUX2X1_60
INVX1_238 NAND3X1_178 OAI21X1_179
INVX1_239 NAND3X1_178 OAI21X1_179
NAND3X1_178 NAND3X1_180 MUX2X1_60
INVX1_240 NAND3X1_179
NAND3X1_179 NAND3X1_180
NAND3X1_180 AND2X2_60
AND2X2_60
OAI21X1_179 NAND2X1_60
OAI21X1_180 NAND2X1_60
NAND2X1_60 MUX2X1_60
MUX2X1_60
OR2X2_61 OAI21X1_181
OAI21X1_181 AND2X2_61
INVX1_241 NAND3X1_183 MUX2X1_61
INVX1_242 NAND3X1_181 OAI21X1_182
INVX1_243 NAND3X1_181 OAI21X1_182
NAND3X1_181 NAND3X1_183 MUX2X1_61
INVX1_244 NAND3X1_182
NAND3X1_182 NAND3X1_183
NAND3X1_183 AND2X2_61
AND2X2_61
OAI21X1_182 NAND2X1_61
OAI21X1_183 NAND2X1_61
NAND2X1_61 MUX2X1_61
MUX2X1_61
OR2X2_62 OAI21X1_184
OAI21X1_184 AND2X2_62
INVX1_245 NAND3X1_186 MUX2X1_62
INVX1_246 NAND3X1_184 OAI21X1_185
INVX1_247 NAND3X1_184 OAI21X1_185
NAND3X1_184 NAND3X1_186 MUX2X1_62
INVX1_248 NAND3X1_185
NAND3X1_185 NAND3X1_186
NAND3X1_186 AND2X2_62
AND2X2_62
OAI21X1_185 NAND2X1_62
OAI21X1_186 NAND2X1_62
NAND2X1_62 MUX2X1_62
MUX2X1_62
OR2X2_63 OAI21X1_187
OAI21X1_187 AND2X2_63
INVX1_249 NAND3X1_189 MUX2X1_63
INVX1_250 NAND3X1_187 OAI21X1_188
INVX1_251 NAND3X1_187 OAI21X1_188
NAND3X1_187 NAND3X1_189 MUX2X1_63
INVX1_252 NAND3X1_188
NAND3X1_188 NAND3X1_189
NAND3X1_189 AND2X2_63
AND2X2_63
OAI21X1_188 NAND2X1_63
OAI21X1_189 NAND2X1_63
NAND2X1_63 MUX2X1_63
MUX2X1_63
OR2X2_64 OAI21X1_190
OAI21X1_190 AND2X2_64
INVX1_253 NAND3X1_192 MUX2X1_64
INVX1_254 NAND3X1_190 OAI21X1_191
INVX1_255 NAND3X1_190 OAI21X1_191
NAND3X1_190 NAND3X1_192 MUX2X1_64
INVX1_256 NAND3X1_191
NAND3X1_191 NAND3X1_192
NAND3X1_192 AND2X2_64
AND2X2_64
OAI21X1_191 NAND2X1_64
OAI21X1_192 NAND2X1_64
NAND2X1_64 MUX2X1_64
MUX2X1_64
OR2X2_65 OAI21X1_193
OAI21X1_193 AND2X2_65
INVX1_257 NAND3X1_195 MUX2X1_65
INVX1_258 NAND3X1_193 OAI21X1_194
INVX1_259 NAND3X1_193 OAI21X1_194
NAND3X1_193 NAND3X1_195 MUX2X1_65
INVX1_260 NAND3X1_194
NAND3X1_194 NAND3X1_195
NAND3X1_195 AND2X2_65
AND2X2_65
OAI21X1_194 NAND2X1_65
OAI21X1_195 NAND2X1_65
NAND2X1_65 MUX2X1_65
MUX2X1_65
OR2X2_66 OAI21X1_196
OAI21X1_196 AND2X2_66
INVX1_261 NAND3X1_198 MUX2X1_66
INVX1_262 NAND3X1_196 OAI21X1_197
INVX1_263 NAND3X1_196 OAI21X1_197
NAND3X1_196 NAND3X1_198 MUX2X1_66
INVX1_264 NAND3X1_197
NAND3X1_197 NAND3X1_198
NAND3X1_198 AND2X2_66
AND2X2_66
OAI21X1_197 NAND2X1_66
OAI21X1_198 NAND2X1_66
NAND2X1_66 MUX2X1_66
MUX2X1_66
OR2X2_67 OAI21X1_199
OAI21X1_199 AND2X2_67
INVX1_265 NAND3X1_201 MUX2X1_67
INVX1_266 NAND3X1_199 OAI21X1_200
INVX1_267 NAND3X1_199 OAI21X1_200
NAND3X1_199 NAND3X1_201 MUX2X1_67
INVX1_268 NAND3X1_200
NAND3X1_200 NAND3X1_201
NAND3X1_201 AND2X2_67
AND2X2_67
OAI21X1_200 NAND2X1_67
OAI21X1_201 NAND2X1_67
NAND2X1_67 MUX2X1_67
MUX2X1_67
OR2X2_68 OAI21X1_202
OAI21X1_202 AND2X2_68
INVX1_269 NAND3X1_204 MUX2X1_68
INVX1_270 NAND3X1_202 OAI21X1_203
INVX1_271 NAND3X1_202 OAI21X1_203
NAND3X1_202 NAND3X1_204 MUX2X1_68
INVX1_272 NAND3X1_203
NAND3X1_203 NAND3X1_204
NAND3X1_204 AND2X2_68
AND2X2_68 OAI21X1_151 INVX1_201 OAI21X1_178 INVX1_237
OAI21X1_203 NAND2X1_68
OAI21X1_204 NAND2X1_68
NAND2X1_68 MUX2X1_68
MUX2X1_68 OAI21X1_151 INVX1_203 NAND3X1_152 OAI21X1_153 OAI21X1_178 INVX1_239 NAND3X1_179 OAI21X1_180
OR2X2_69 OAI21X1_205
OAI21X1_205 AND2X2_69
INVX1_273 NAND3X1_207 MUX2X1_69
INVX1_274 NAND3X1_205 OAI21X1_206
INVX1_275 NAND3X1_205 OAI21X1_206
NAND3X1_205 NAND3X1_207 MUX2X1_69
INVX1_276 NAND3X1_206
NAND3X1_206 NAND3X1_207
NAND3X1_207 AND2X2_69
AND2X2_69
OAI21X1_206 NAND2X1_69
OAI21X1_207 NAND2X1_69
NAND2X1_69 MUX2X1_69
MUX2X1_69
OR2X2_70 OAI21X1_208
OAI21X1_208 AND2X2_70
INVX1_277 NAND3X1_210 MUX2X1_70
INVX1_278 NAND3X1_208 OAI21X1_209
INVX1_279 NAND3X1_208 OAI21X1_209
NAND3X1_208 NAND3X1_210 MUX2X1_70
INVX1_280 NAND3X1_209
NAND3X1_209 NAND3X1_210
NAND3X1_210 AND2X2_70
AND2X2_70
OAI21X1_209 NAND2X1_70
OAI21X1_210 NAND2X1_70
NAND2X1_70 MUX2X1_70
MUX2X1_70
OR2X2_71 OAI21X1_211
OAI21X1_211 AND2X2_71
INVX1_281 NAND3X1_213 MUX2X1_71
INVX1_282 NAND3X1_211 OAI21X1_212
INVX1_283 NAND3X1_211 OAI21X1_212
NAND3X1_211 NAND3X1_213 MUX2X1_71
INVX1_284 NAND3X1_212
NAND3X1_212 NAND3X1_213
NAND3X1_213 AND2X2_71
AND2X2_71
OAI21X1_212 NAND2X1_71
OAI21X1_213 NAND2X1_71
NAND2X1_71 MUX2X1_71
MUX2X1_71
OR2X2_72 OAI21X1_214
OAI21X1_214 AND2X2_72
INVX1_285 NAND3X1_216 MUX2X1_72
INVX1_286 NAND3X1_214 OAI21X1_215
INVX1_287 NAND3X1_214 OAI21X1_215
NAND3X1_214 NAND3X1_216 MUX2X1_72
INVX1_288 NAND3X1_215
NAND3X1_215 NAND3X1_216
NAND3X1_216 AND2X2_72
AND2X2_72
OAI21X1_215 NAND2X1_72
OAI21X1_216 NAND2X1_72
NAND2X1_72 MUX2X1_72
MUX2X1_72
OR2X2_73 OAI21X1_217
OAI21X1_217 AND2X2_73
INVX1_289 NAND3X1_219 MUX2X1_73
INVX1_290 NAND3X1_217 OAI21X1_218
INVX1_291 NAND3X1_217 OAI21X1_218
NAND3X1_217 NAND3X1_219 MUX2X1_73
INVX1_292 NAND3X1_218
NAND3X1_218 NAND3X1_219
NAND3X1_219 AND2X2_73
AND2X2_73
OAI21X1_218 NAND2X1_73
OAI21X1_219 NAND2X1_73
NAND2X1_73 MUX2X1_73
MUX2X1_73
OR2X2_74 OAI21X1_220
OAI21X1_220 AND2X2_74
INVX1_293 NAND3X1_222 MUX2X1_74
INVX1_294 NAND3X1_220 OAI21X1_221
INVX1_295 NAND3X1_220 OAI21X1_221
NAND3X1_220 NAND3X1_222 MUX2X1_74
INVX1_296 NAND3X1_221
NAND3X1_221 NAND3X1_222
NAND3X1_222 AND2X2_74
AND2X2_74
OAI21X1_221 NAND2X1_74
OAI21X1_222 NAND2X1_74
NAND2X1_74 MUX2X1_74
MUX2X1_74
OR2X2_75 OAI21X1_223
OAI21X1_223 AND2X2_75
INVX1_297 NAND3X1_225 MUX2X1_75
INVX1_298 NAND3X1_223 OAI21X1_224
INVX1_299 NAND3X1_223 OAI21X1_224
NAND3X1_223 NAND3X1_225 MUX2X1_75
INVX1_300 NAND3X1_224
NAND3X1_224 NAND3X1_225
NAND3X1_225 AND2X2_75
AND2X2_75
OAI21X1_224 NAND2X1_75
OAI21X1_225 NAND2X1_75
NAND2X1_75 MUX2X1_75
MUX2X1_75
OR2X2_76 OAI21X1_226
OAI21X1_226 AND2X2_76
INVX1_301 NAND3X1_228 MUX2X1_76
INVX1_302 NAND3X1_226 OAI21X1_227
INVX1_303 NAND3X1_226 OAI21X1_227
NAND3X1_226 NAND3X1_228 MUX2X1_76
INVX1_304 NAND3X1_227
NAND3X1_227 NAND3X1_228
NAND3X1_228 AND2X2_76
AND2X2_76
OAI21X1_227 NAND2X1_76
OAI21X1_228 NAND2X1_76
NAND2X1_76 MUX2X1_76
MUX2X1_76
OR2X2_77 OAI21X1_229
OAI21X1_229 AND2X2_77
INVX1_305 NAND3X1_231 MUX2X1_77
INVX1_306 NAND3X1_229 OAI21X1_230
INVX1_307 NAND3X1_229 OAI21X1_230
NAND3X1_229 NAND3X1_231 MUX2X1_77
INVX1_308 NAND3X1_230
NAND3X1_230 NAND3X1_231
NAND3X1_231 AND2X2_77
AND2X2_77
OAI21X1_230 NAND2X1_77
OAI21X1_231 NAND2X1_77
NAND2X1_77 MUX2X1_77
MUX2X1_77
OR2X2_78 OAI21X1_232
OAI21X1_232 AND2X2_78
INVX1_309 NAND3X1_234 MUX2X1_78
INVX1_310 NAND3X1_232 OAI21X1_233
INVX1_311 NAND3X1_232 OAI21X1_233
NAND3X1_232 NAND3X1_234 MUX2X1_78
INVX1_312 NAND3X1_233
NAND3X1_233 NAND3X1_234
NAND3X1_234 AND2X2_78
AND2X2_78
OAI21X1_233 NAND2X1_78
OAI21X1_234 NAND2X1_78
NAND2X1_78 MUX2X1_78
MUX2X1_78
OR2X2_79 OAI21X1_235
OAI21X1_235 AND2X2_79
INVX1_313 NAND3X1_237 MUX2X1_79
INVX1_314 NAND3X1_235 OAI21X1_236
INVX1_315 NAND3X1_235 OAI21X1_236
NAND3X1_235 NAND3X1_237 MUX2X1_79
INVX1_316 NAND3X1_236
NAND3X1_236 NAND3X1_237
NAND3X1_237 AND2X2_79
AND2X2_79 OAI21X1_184 INVX1_245 OAI21X1_211 INVX1_281
OAI21X1_236 NAND2X1_79
OAI21X1_237 NAND2X1_79
NAND2X1_79 MUX2X1_79
MUX2X1_79 OAI21X1_184 INVX1_247 NAND3X1_185 OAI21X1_186 OAI21X1_211 INVX1_283 NAND3X1_212 OAI21X1_213
OR2X2_80 OAI21X1_238
OAI21X1_238 AND2X2_80
INVX1_317 NAND3X1_240 MUX2X1_80
INVX1_318 NAND3X1_238 OAI21X1_239
INVX1_319 NAND3X1_238 OAI21X1_239
NAND3X1_238 NAND3X1_240 MUX2X1_80
INVX1_320 NAND3X1_239
NAND3X1_239 NAND3X1_240
NAND3X1_240 AND2X2_80
AND2X2_80
OAI21X1_239 NAND2X1_80
OAI21X1_240 NAND2X1_80
NAND2X1_80 MUX2X1_80
MUX2X1_80
OR2X2_81 OAI21X1_241
OAI21X1_241 AND2X2_81
INVX1_321 NAND3X1_243 MUX2X1_81
INVX1_322 NAND3X1_241 OAI21X1_242
INVX1_323 NAND3X1_241 OAI21X1_242
NAND3X1_241 NAND3X1_243 MUX2X1_81
INVX1_324 NAND3X1_242
NAND3X1_242 NAND3X1_243
NAND3X1_243 AND2X2_81
AND2X2_81
OAI21X1_242 NAND2X1_81
OAI21X1_243 NAND2X1_81
NAND2X1_81 MUX2X1_81
MUX2X1_81
OR2X2_82 OAI21X1_244
OAI21X1_244 AND2X2_82
INVX1_325 NAND3X1_246 MUX2X1_82
INVX1_326 NAND3X1_244 OAI21X1_245
INVX1_327 NAND3X1_244 OAI21X1_245
NAND3X1_244 NAND3X1_246 MUX2X1_82
INVX1_328 NAND3X1_245
NAND3X1_245 NAND3X1_246
NAND3X1_246 AND2X2_82
AND2X2_82
OAI21X1_245 NAND2X1_82
OAI21X1_246 NAND2X1_82
NAND2X1_82 MUX2X1_82
MUX2X1_82
OR2X2_83 OAI21X1_247
OAI21X1_247 AND2X2_83
INVX1_329 NAND3X1_249 MUX2X1_83
INVX1_330 NAND3X1_247 OAI21X1_248
INVX1_331 NAND3X1_247 OAI21X1_248
NAND3X1_247 NAND3X1_249 MUX2X1_83
INVX1_332 NAND3X1_248
NAND3X1_248 NAND3X1_249
NAND3X1_249 AND2X2_83
AND2X2_83
OAI21X1_248 NAND2X1_83
OAI21X1_249 NAND2X1_83
NAND2X1_83 MUX2X1_83
MUX2X1_83
OR2X2_84 OAI21X1_250
OAI21X1_250 AND2X2_84
INVX1_333 NAND3X1_252 MUX2X1_84
INVX1_334 NAND3X1_250 OAI21X1_251
INVX1_335 NAND3X1_250 OAI21X1_251
NAND3X1_250 NAND3X1_252 MUX2X1_84
INVX1_336 NAND3X1_251
NAND3X1_251 NAND3X1_252
NAND3X1_252 AND2X2_84
AND2X2_84
OAI21X1_251 NAND2X1_84
OAI21X1_252 NAND2X1_84
NAND2X1_84 MUX2X1_84
MUX2X1_84
OR2X2_85 OAI21X1_253
OAI21X1_253 AND2X2_85
INVX1_337 NAND3X1_255 MUX2X1_85
INVX1_338 NAND3X1_253 OAI21X1_254
INVX1_339 NAND3X1_253 OAI21X1_254
NAND3X1_253 NAND3X1_255 MUX2X1_85
INVX1_340 NAND3X1_254
NAND3X1_254 NAND3X1_255
NAND3X1_255 AND2X2_85
AND2X2_85
OAI21X1_254 NAND2X1_85
OAI21X1_255 NAND2X1_85
NAND2X1_85 MUX2X1_85
MUX2X1_85
OR2X2_86 OAI21X1_256
OAI21X1_256 AND2X2_86
INVX1_341 NAND3X1_258 MUX2X1_86
INVX1_342 NAND3X1_256 OAI21X1_257
INVX1_343 NAND3X1_256 OAI21X1_257
NAND3X1_256 NAND3X1_258 MUX2X1_86
INVX1_344 NAND3X1_257
NAND3X1_257 NAND3X1_258
NAND3X1_258 AND2X2_86
AND2X2_86
OAI21X1_257 NAND2X1_86
OAI21X1_258 NAND2X1_86
NAND2X1_86 MUX2X1_86
MUX2X1_86
OR2X2_87 OAI21X1_259
OAI21X1_259 AND2X2_87
INVX1_345 NAND3X1_261 MUX2X1_87
INVX1_346 NAND3X1_259 OAI21X1_260
INVX1_347 NAND3X1_259 OAI21X1_260
NAND3X1_259 NAND3X1_261 MUX2X1_87
INVX1_348 NAND3X1_260
NAND3X1_260 NAND3X1_261
NAND3X1_261 AND2X2_87
AND2X2_87
OAI21X1_260 NAND2X1_87
OAI21X1_261 NAND2X1_87
NAND2X1_87 MUX2X1_87
MUX2X1_87
OR2X2_88 OAI21X1_262
OAI21X1_262 AND2X2_88
INVX1_349 NAND3X1_264 MUX2X1_88
INVX1_350 NAND3X1_262 OAI21X1_263
INVX1_351 NAND3X1_262 OAI21X1_263
NAND3X1_262 NAND3X1_264 MUX2X1_88
INVX1_352 NAND3X1_263
NAND3X1_263 NAND3X1_264
NAND3X1_264 AND2X2_88
AND2X2_88 OAI21X1_190 INVX1_253 OAI21X1_217 INVX1_289
OAI21X1_263 NAND2X1_88
OAI21X1_264 NAND2X1_88
NAND2X1_88 MUX2X1_88
MUX2X1_88 OAI21X1_190 INVX1_255 NAND3X1_191 OAI21X1_192 OAI21X1_217 INVX1_291 NAND3X1_218 OAI21X1_219
